id,framework,subcategory,ai_security_control,description,priority,category,implementation_effort,business_impact,threat_vector,mitigation_strategy,compliance_requirement,createdAt,updatedAt
ai-021,NIST AI RMF,Map,Conduct AI system mapping,"Map AI systems and their components to understand dependencies and potential failure points",Medium,System Mapping,Medium,Medium,System Complexity,"System documentation, dependency mapping, and impact analysis",NIST AI RMF,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
ai-022,NIST AI RMF,Map,Identify AI system boundaries,"Clearly define AI system boundaries and interfaces to understand security perimeters",Medium,Boundary Definition,Low,Medium,Boundary Confusion,"Interface documentation, boundary controls, and access management",NIST AI RMF,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
ai-023,NIST AI RMF,Measure,Implement AI performance monitoring,"Monitor AI system performance to detect anomalies and ensure reliable operation",High,Performance Monitoring,Medium,High,Performance Degradation,"Performance metrics, anomaly detection, and alerting systems",NIST AI RMF,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
ai-024,NIST AI RMF,Measure,Conduct AI bias testing,"Test AI systems for bias and fairness to ensure equitable outcomes",High,Bias Testing,High,High,Algorithmic Bias,"Bias testing frameworks, fairness metrics, and corrective measures",NIST AI RMF,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
ai-025,NIST AI RMF,Manage,Implement AI incident response,"Develop incident response procedures specifically for AI system failures and security breaches",High,Incident Response,Medium,High,Incident Impact,"Response procedures, communication plans, and recovery processes",NIST AI RMF,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
ai-026,NIST AI RMF,Manage,Establish AI system maintenance procedures,"Implement regular maintenance and updates for AI systems to ensure security and performance",Medium,System Maintenance,Low,Medium,System Decay,"Maintenance schedules, update procedures, and change management",NIST AI RMF,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
ai-027,MITRE ATLAS,Adversarial Tactics,Implement adversarial training,"Train AI models against adversarial examples to improve robustness",High,Adversarial Defense,Very High,High,Adversarial Attacks,"Adversarial training, robust optimization, and defensive distillation",MITRE ATLAS,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
ai-028,MITRE ATLAS,Adversarial Tactics,Implement input preprocessing defenses,"Preprocess inputs to detect and filter adversarial examples before model processing",Medium,Input Defense,Medium,Medium,Adversarial Inputs,"Input sanitization, anomaly detection, and preprocessing filters",MITRE ATLAS,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
ai-029,MITRE ATLAS,Attack Patterns,Implement model extraction defenses,"Protect AI models from extraction attacks that could reveal proprietary information",High,Model Protection,High,High,Model Theft,"Model obfuscation, access controls, and watermarking",MITRE ATLAS,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
ai-030,MITRE ATLAS,Attack Patterns,Implement membership inference defenses,"Protect against membership inference attacks that could reveal training data information",Medium,Privacy Protection,High,Medium,Privacy Leakage,"Differential privacy, data anonymization, and membership testing",MITRE ATLAS,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
ai-031,MITRE ATLAS,Defense Strategies,Implement model monitoring,"Continuously monitor AI models for signs of compromise or performance degradation",High,Model Monitoring,Medium,High,Model Compromise,"Performance monitoring, anomaly detection, and integrity checks",MITRE ATLAS,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
ai-032,MITRE ATLAS,Defense Strategies,Implement secure model deployment,"Deploy AI models securely to prevent unauthorized access and tampering",High,Deployment Security,Medium,High,Deployment Vulnerabilities,"Secure deployment practices, access controls, and monitoring",MITRE ATLAS,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
ai-033,Anthropic Responsible Scaling Policy,Capability Scaling,Implement capability monitoring,"Monitor AI system capabilities to detect unexpected or dangerous emergent behaviors",High,Capability Monitoring,High,High,Capability Misuse,"Capability assessment, behavior monitoring, and safety thresholds",Anthropic RSP,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
ai-034,Anthropic Responsible Scaling Policy,Capability Scaling,Implement scaling controls,"Control AI system scaling to prevent capabilities from exceeding safety thresholds",High,Scaling Control,Very High,High,Uncontrolled Scaling,"Scaling limits, capability caps, and safety brakes",Anthropic RSP,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
ai-035,Anthropic Responsible Scaling Policy,Safety Measures,Implement safety training,"Train AI systems with safety-focused objectives to reduce harmful outputs",High,Safety Training,High,High,Harmful Outputs,"Safety training data, harm reduction techniques, and alignment methods",Anthropic RSP,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
ai-036,Anthropic Responsible Scaling Policy,Safety Measures,Implement safety testing,"Conduct comprehensive safety testing to identify and mitigate potential risks",High,Safety Testing,High,High,Safety Failures,"Red teaming, safety evaluation, and risk assessment",Anthropic RSP,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
ai-037,Anthropic Responsible Scaling Policy,Risk Assessment,Implement risk evaluation,"Continuously evaluate AI system risks as capabilities evolve",High,Risk Evaluation,Medium,High,Risk Evolution,"Risk assessment frameworks, capability tracking, and safety metrics",Anthropic RSP,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
ai-038,Anthropic Responsible Scaling Policy,Risk Assessment,Implement safety reporting,"Establish reporting mechanisms for AI safety incidents and concerns",Medium,Safety Reporting,Low,Medium,Safety Incidents,"Incident reporting, safety channels, and response procedures",Anthropic RSP,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
